epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.511,0,128.69,0,0,0,0,0,0,100.04,0,0,0,0
2,49.1925,0,128.591,0,0,0,0,0,0,100.102,0,1.9802e-05,1.9802e-05,1.9802e-05
3,74.9308,0,128.223,0,0,0,0,0,0,100.147,0,3.9208e-05,3.9208e-05,3.9208e-05
4,94.5715,0,127.834,0,0,0,0,0,0,100.182,0,5.8218e-05,5.8218e-05,5.8218e-05
5,121.129,0,127.279,0,0,0,0,0,0,100.215,0,7.6832e-05,7.6832e-05,7.6832e-05
6,140.958,0,126.558,0,0,0,0,0,0,100.246,0,9.505e-05,9.505e-05,9.505e-05
7,157.785,0,125.706,0,0,0,0,0,0,100.26,0,0.000112872,0.000112872,0.000112872
