epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1881.73,0.63894,2.4903,1.15903,0.61116,0.64942,0.66324,0.53438,0.69224,2.27317,1.25646,0.000330808,0.000330808,0.000330808
2,3354.05,0.69414,1.53415,1.17777,0.61968,0.63056,0.67383,0.5179,0.77899,2.18641,1.29104,0.000650991,0.000650991,0.000650991
3,5169.54,0.7566,1.41448,1.21201,0.47817,0.64576,0.55574,0.36626,0.94625,2.35693,1.4463,0.000957975,0.000957975,0.000957975
4,7854.25,0.74086,1.29576,1.1982,0.76887,0.67547,0.77075,0.57722,0.79749,1.48699,1.30312,0.0009406,0.0009406,0.0009406
